,en,de,fr
luis_intro_04,"My wife and son will help you along your quest. You will find clues and riddles while discovering my creations on the way.","Meine Frau und mein Sohn werden Ihnen bei ihrer Aufgabe weiterhelfen. Sie werden, während Sie meine Schöpfungen entdecken, Hinweise und Rätsel auf Ihrem Weg finden.","Ma femme et mon fils t’aideront dans ta quête. Tu trouveras des indices et des énigmes à résoudre au fil de ton exploration de la Villa et de la découverte de mes créations."
luis_intro_05,"But remember, we will keep you locked in as long as it takes to find it!","Vergesst nicht, Ihr bleibt eingeschlossen, bis Ihr es gefunden habt, wie lang auch immer das sein mag.","Mais rappelle-toi, nous serons enfermez aussi longtemps que tu n’auras pas résolu les énigmes et retrouvez mon objet d’art."
luis_intro_06,"Go on my friend. As I am a ghost in search of his soul, I can't give you its name, but I can give you a clue. Good luck my friend!","Los geht's mein Freund. Ich kann Ihnen nicht sagen welches Objekt ich suche, aber ich kann Ihnen einen Tipp geben. Viel Glück mein Freund!","Allez, cher ami... Je suis un fantôme à la recherche de son âme, et si je ne peut pas te donner le nom des objets matériels, je peux te donner l’ombre de son titre. A toi de retrouver les lettres qui l’habillerons! Bonne chance mon ami!"
luis_intro_07,"- - - - - - - - - -    - - -\n\n[PICK UP LETTERS IN CAPITALS]","- - - - - - - - - -    - - -\n\n[Sammele die Großbuchstaben ein]","- - - - - - - - - -    - - -\n\n[COLLECTE LES LETTRES EN CAPITALES]"
luis_intro_arturo_01,"Thank you Sir Majorelle, I'll go and look for it so that you and I will both be free.","Danke sehr Herr Majorelle, ich mache mich auf und suche es, sodass Sie und ich beide frei sind.","Merci Monsieur Majorelle! Je le chercherai et le trouverai! Vous serez libéré… et moi aussi!"
trailer_01,"Hello. My name is Arturo, I am a journalist and detective. My specialities are ghosts and thieves.","Hallo. Mein Name ist Arturo. Ich bin ein Journalist und Detektiv. Mein Spezialgebiet sind Geister und Diebe.","Mon nom est Arturo. Je suis journaliste et détective; mes spécialités? Fantômes et voleurs!"
trailer_02,"Every month I write in the spooky column 'The Ghosts are in', but the story I am about to tell you is for a different kind of readers indeed - the kind who want to take part in history.","Ich schreibe jeden Monat in der Gruselkolumne 'The Ghosts are in', aber die Geschichte, die ich jetzt erzählen werde, ist für andere Leser, für die die Teil historischer Ereignisse sein wollen.","J’écris tous les mois pour le magazine à sensations fortes “Faites-moi peur – les fantômes sont là!” mais l’histoire que je suis sur le point de vous raconter est spéciale car si vous le souhaitez, vous pourrez y prendre part..."
trailer_03,"In 1902 the family of Louis Majorelle moved to a beautiful villa on the outskirt of Nancy. It was specially built for them in a middle of a vast garden. They occupied the house until 1912. When Jane Majorelle died and Jacques was touring Europe and even going on to explore North Africa, Louis Majorelle didn't have the heart to stay around the villa anymore. The house was then occupied by different offices before being in the care of a museum curator, who carefully coordinated its restoration for years until the grand reopening of the Villa Majorelle Nancy to the public in 2020.","Im Jahr 1902 zog Louis Majorelle Familie in eine wunderschöne Villa am Stadtrand von Nancy. Sie wurde speziell für sie inmitten eines riesigen Parks errichtet. Die Villa war bis 1912 durchgängig bewohnt. Als Jane Majorelle starb und Jacques durch Europa reiste und sogar noch Nordafrika erkunden wollte, konnte Louis Majorelle es nicht mehr übers Herz bringen länger in der Villa zu wohnen. Das Haus wurde im Anschluss durch mehrere Ämter genutzt bis es schließlich in die Obhut einer Museumskuratorin überging. Über Jahre hinweg wurde die Villa Majorelle Nancy unter ihrer Aufsicht aufwändig bis zu ihrer offiziellen Öffnung im Jahre 2020 restauriert.","La famille de Louis Majorelle a emménagée dans la magnifique Villa Majorelle en 1902 et au cœur d’un grand parc, aux frontières de Nancy. La famille a occupé la maison complètement jusqu’en 1912, mais alors que Jane Majorelle décède et que Jacques, leur fils voyage en Europe et plus loin encore vers le nord de l’Afrique, Louis Majorelle délaisse peu à peu la Villa, trop de souvenirs disait-il... la maison fut néanmoins conservée par la famille jusqu’en qu’en 1930 puis vendue. Ensuite différents services administratifs l’ont occupés avant que la municipalité en reprenne possession et l’ouvre au public. Ces dernières années une conservatrice de musée coordonna sa restauration. Sa réouverture au public a eu lieu en cette année 2020, ce fut un grand succès."
trailer_04,"I was invited to the event as were many of my journalisticly inclined colleagues. We rejoiced at the wonderful restoration, with the original furniture and decorative art pieces of the Majorelle family or very similar ones. It felt like the Majorelle family was still around... Actually, that wasn't far from the truth! As quickly after the reopening the Villa Majorelle closed again. There wasn't any explanation, until one fine day, I received this letter:","Viele meiner Journalistenkollegen*innen und ich waren eingeladen und erfreuten uns an der wundervollen Restauration der Villa mit originalen Möbeln und Kunstwerken der Familie Majorelle - oder, wenn nicht mehr vorhanden, sehr ähnlichen Stücken. Es fühlte sich an, als ob die Majorelles noch da wären. Tatsächlich war das nicht fernab der Wahrheit! Schnell nach der Eröffnung wurde die Villa wieder ohne Erklärung geschlossen. Eines schönen Tages erhielt ich diesen Brief:","Je fus invité, comme beaucoup de mes collègues journalistes à l’événement et j’ai pu m’extasier devant le magnifique travail de restauration entrepris, avec ses pièces de mobilier et ses œuvres d’art décoratif... C’était comme si la famille Majorelle était toujours là... Et disant cela, je n’étais pas loin de la vérité... En effet, juste après la réouverture, la Villa Majorelle fut fermée à nouveau, sans explications... sauf cette lettre qui me fut adressée personnellement:"
trailer_05,"Dear Arturo,\n\none of my museum colleagues gave me your name, saying you were a kind of spirit medium or something alike as well as a journalist and detective. I do not trust such fairytales to be perfectly honest with you, but most peculiar things happened in our Villa Majorelle during the last months of winter: objects were moving on their own, disappearing and reappearing... I am too much of a sceptic to truly believe in anything but my scientific understanding, but, as a matter of fact, I think that we may have ghosts! These ghosts can't be driven off - they are the Majorelle family trapped in their own home! They need to be pacified so we can reopen the Villa Majorelle to visitors.\n\nWe need your help! Please help!\n\nYours faithfully, \nThe Curator","Lieber Arturo,\neiner meiner Kollegen aus dem Museum gab mir deinen Namen und meinte du seist eine Art Medium oder etwas Ähnliches, sowie Journalist und Detektiv... Um ehrlich zu sein, ich glaube nicht an derlei Märchen, aber die befremdlichsten Begebenheiten waren in der Villa Majorelle während der letzten Wintermonate zu beobachten: Dinge bewegten sich von selbst, verschwanden und tauchten wieder auf... Ich bin zu sehr Skeptiker, als dass ich an irgendetwas außer meinen wissenschaftliche Kenntnisse glaube kann, aber tatsächlich glaube ich, dass wir haben Geister könnten! Diese Geister können nicht vertrieben werden, denn es ist die Familie Majorelle, eingesperrt in ihrem eigenen Haus. Sie müssen beschwichtigt werden, sodass wir die Villa für Besucher wiedereröffnen können.\nWir brauchen deine Hilfe! Bitte hilf uns!\nHochachtungsvoll,\nDie Museumskuratorin","Cher Arturo, \nUn des mes collègues conservateur m’a votre nom pur notre affaire... vous seriez un genre de journaliste détective et médium...? Je vous avoue que je ne crois pas à ses balivernes de fées et de fantômes, mais nous avons des faits inexpliqués au coeur de notre Villa Majorelle! Lors du dernier mois d’hiver, peu de temps après la réouverture, certains des objets exposés se sont retrouvés déplacés de pièces en pièces, disparaissaient et ré-apparaissaient... chaque jour nous avions de nouvelles surprises... Mes agents ne veulent plus y mettre les pieds, ils me disent que la Villa est hantée!!! Je suis très sceptique quand aux raisons d’un tel chambardement, mais je dois me rendre à l’évidence, notre Villa est habitée par des fantômes! Ils sont enfermés et ont besoin d’être raisonnés afin que nous puissions ré ouvrir la Villa aux visiteurs! \nNous avons besoin de votre aide! S’il vous plaît Arturo, aidez-nous!\n\nTrès sincèrement,\nLa conservatrice"
trailer_06,"Hmm... Interesting... Everyone thought the Majorelle family was gone, but their souls still remain in this Art Nouveau Villa.\n\nBut why are they trapped?! Why do they haunt the Villa? Sometimes souls stay around because a matter has to be settled.","Hmm... Interessant... Jedermann dachte die Majorelle Familie sei verschwunden, aber ihre Seelen sind weiterhin in dieser Jugendstilvilla.\n\nAber warum sind die gefangen? Warum suchen sie die Villa heim? Manchmal verweilen Seelen, weil noch einige Sachen geregelt werden müssen.\n","Hmm! Intéressant!"
trailer_07,"This is a perfect case for me!","Das ist ein perfekter Fall für mich!","Des fantômes enfermés dans la Villa Majorelle! Cette une affaire parfait pour moi!"
trailer_08,"The curator welcomed me the next evening with a tight-lipped smile, being not too comfortable with the situation at hand. I tried to reassure her, but as I went in, I could already feel something in the air - something moving really fast around me, jumping... It pushed me through the dining room and suddenly said to me: \n\nSir, I don't want to cause any unnecessary trouble, so either you get the matter sorted quickly - let's say in an hour - or you stay with the ghosts and this villa for... well, forever!","Die Kuratorin empfing mich am nächsten Abend mit einem schmallippigen Lächeln, sich offensichtlich mit der Situation unwohl fühlend. Ich versuchte sie zu beruhigen, aber als ich ins Innere ging, konnte ich schon etwas in der Luft spüren. Es bewegte sich wirklich schnell um mich herum, sprang... Es schob mich durch das Esszimmer and sprach plötzlich zu mir:\n\nEdler Herr, Ich möchte keine unnötigen Probleme verursachen, also entweder Sie schaffen es das Problem schnell zu lösen - sagen wir in einer Stunde - oder sie bleiben bei den Geistern und in dieser Villa für, tja, für immer!","Ainsi, je me retrouvait sur les lieux le lendemain. La conservatrice m’accueillit avec un sourire un peu crispé. J’ai essayé de la rassurer un peu en avançant mon expérience, mais au moment où j’entrais dans la Villa, j’ai pu sentir que quelque chose tournoyait autour de moi... Elle le sentait aussi, et me hâta dans la salle à manger pour, je pensais m’expliquer un peu plus l’affaire... mais elle me dit de manière pressée: \n'Arturo, je ne veux aucun scandale, donc soir vous vous me résolvez cette affaire rapidement - disons en 1 heure - soit je vous laisse ici, avec les fantômes enfermés dans dans la Villa... pour toujours!''"
trailer_09,"Directly after saying that, the ghost turned around, left, and shut the door behind itself with the keys. I could hear it slam the front door and the garden gate shut as well.","Direkt nachdem der Geist dies gesagt hatte, drehte er sich um und verließ, die Tür hinter sich mit dem Schlüssel verschließend, das Zimmer. Ich konnte die Haustür und das Gartentor ebenfalls zuschlagen hören.","Elle tourna les talons et ferma la porte à clef derrière elle, puis la porte d’entrée, puis celle du jardin..."
trailer_10,"I was left behind, locked in the villa's grand dining room, with little time and no clue where to start. All alone - or so I thought.","Ich blieb zurück, eingeschlossen im Esszimmer der Villa, mit wenig Zeit und keiner Idee, wo ich anfangen sollte. Ganz allein - das dachte ich zumindest.","Me voilà bien enfermé, pensais-je... Ici dans la villa, dans cette salle à manger, avec peu de temps et aucun indice pour commencer ma quête... tout seul...enfin presque..."
Mouse_anagram,"Hurray, solved the riddle. AESOP is the name of the poet who wrote 'The Town Mouse and the Country Mouse'.","Hurra, Rätsel gelöst. Aesop ist der Name des Dichters, der 'Die Stadt- und die Landmaus' geschrieben hat.","Hourra, j'ai résolu l'égnime! ESOPE est le nom du poete qui a écrit 'Le rat des villes et le rat des champs"
